date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:51	83304/83304	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f4-14568%22	https://demo.themefisher.com/thomson/images/portfolio/9.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/portfolio/9.jpg	(from https://demo.themefisher.com/thomson/portfolio-single.html)
21:36:51	7669/7669	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f4-1df5%22	https://demo.themefisher.com/thomson/portfolio-single2.html	/home/nduati/websites/Template/demo.themefisher.com/thomson/portfolio-single2.html	(from https://demo.themefisher.com/thomson/portfolio-single.html)
21:36:52	19870/19870	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f3-4d9e%22	https://demo.themefisher.com/thomson/images/blog/minimal-1.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/blog/minimal-1.jpg	(from https://demo.themefisher.com/thomson/blog-grid.html)
21:36:53	149212/149212	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f3-246dc%22	https://demo.themefisher.com/thomson/images/about-img.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/about-img.jpg	(from https://demo.themefisher.com/thomson/about.html)
21:36:53	11365/11365	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f3-2c65%22	https://demo.themefisher.com/thomson/images/blog/minimal-2.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/blog/minimal-2.jpg	(from https://demo.themefisher.com/thomson/blog-grid.html)
21:36:55	18502/18502	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f3-4846%22	https://demo.themefisher.com/thomson/images/blog/minimal-3.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/blog/minimal-3.jpg	(from https://demo.themefisher.com/thomson/blog-grid.html)
21:36:55	10096/10096	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f3-2770%22	https://demo.themefisher.com/thomson/images/blog/minimal-4.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/blog/minimal-4.jpg	(from https://demo.themefisher.com/thomson/blog-grid.html)
21:36:57	15576/15576	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f3-3cd8%22	https://demo.themefisher.com/thomson/images/blog/s-1.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/blog/s-1.jpg	(from https://demo.themefisher.com/thomson/blog-sidebar.html)
21:36:58	7724/7724	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f3-1e2c%22	https://demo.themefisher.com/thomson/images/blog/s-2.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/blog/s-2.jpg	(from https://demo.themefisher.com/thomson/blog-sidebar.html)
21:37:03	3469/3469	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f3-d8d%22	https://demo.themefisher.com/thomson/images/blog/author1.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/blog/author1.jpg	(from https://demo.themefisher.com/thomson/blog-single.html)
21:37:05	67378/67378	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f3-10732%22	https://demo.themefisher.com/thomson/images/blog/01.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/blog/01.jpg	(from https://demo.themefisher.com/thomson/blog-single.html)
21:37:05	4273/4273	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f3-10b1%22	https://demo.themefisher.com/thomson/images/blog/author2.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/blog/author2.jpg	(from https://demo.themefisher.com/thomson/blog-single.html)
21:45:57	13186681/13186681	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f4-c93679%22	https://demo.themefisher.com/thomson/images/home-2.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/home-2.jpg	(from https://demo.themefisher.com/thomson/about-us.html)
21:46:01	70110/70110	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f4-111de%22	https://demo.themefisher.com/thomson/images/portfolio/02.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/portfolio/02.jpg	(from https://demo.themefisher.com/thomson/portfolio-single4.html)
21:46:02	7237/7237	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f4-1c45%22	https://demo.themefisher.com/thomson/portfolio-single3.html	/home/nduati/websites/Template/demo.themefisher.com/thomson/portfolio-single3.html	(from https://demo.themefisher.com/thomson/portfolio-single4.html)
